,HSM5FZBJ,CSM5FZ3N,ESM5MEDZ,MSM5LLIC,CSM5FZ3T,MSM5LLFG,ESM5MEEG,MSM5LLIS,CSM5FZ48,CSM5FZ4A,HSM5MD4S,CSM5FZ4O,CSM5MCTZ,HSM5MD86,HSM5MD7Z,HSM5MD8A,MSM5LLEH,HSM5MD82,CSM5MCU4,HSM5MD87,CSM5MCVH,MSM6J2H9,HSM5MD3L,CSM5MCWK,HSM5MD8H,MSM6J2JF,CSM5MCXF,MSM6J2JH,CSM5MCXB,HSM5MD5Z,CSM5MCYU,ESM5MEB9,HSM6XRQC,HSM6XRQB,HSM6XRQE,CSM67U9T,CSM67U9V,CSM67U9X,PSM6XBQM,HSM67VDX,MSM6J2Q1,PSM6XBRK,HSM67VDR,CSM67UH7,CSM79HG4,PSM6XBSE,MSM6J2PO,CSM79HJE,MSM6J2NA,CSM79HJI,CSM79HJG,CSM79HQL,MSM79HD6,CSM79HQR,HSM7J4LP,PSM7J188,MSM9VZFJ,HSM7J4JT,MSM79H8D,CSM79HQN,MSM79H94,MSM9VZMM,CSM7KOQ7,HSM7J4JV,MSM9VZM4,HSM7J4JW,HSMA33NW,HSMA33NY,PSMA265X,MSM5LLDI
C18n_QI06,4355470.0,942546.0,5759125.0,2322948.0,470132.0,1971720.0,2289541.0,7904568.0,1069292.0,1265301.0,1876005.0,524759.0,5745981.0,1450805.0,1577140.0,473635.0,2125668.0,1063114.0,856432.0,790901.0,8915552.0,745046.0,1340638.0,1714916.0,623579.0,4944628.0,6508451.0,975473.0,200818.0,1274585.0,694805.0,1712791.0,3048777.0,1350963.0,221979.0,1352516.0,697774.0,2659745.0,6295050.0,3559837.0,2599591.0,2384194.0,2770186.0,886144.0,4300596.0,4071076.0,1897492.0,471848.0,1562773.0,3769522.0,1546925.0,1565998.0,3119960.0,5221261.0,1131089.0,638602.0,946500.0,1074560.0,567393.0,1084932.0,3480357.0,2481188.0,705432.0,1888627.0,1237421.0,1480631.0,1989470.0,3361853.0,1563896.0,404476.0
C18n_QI07,1512589.0,1418451.0,3515867.0,2388903.0,416924.0,4323277.0,3646246.0,4721028.0,1256069.0,1368667.0,2549569.0,541578.0,1260673.0,872501.0,1066675.0,946753.0,1613974.0,1585741.0,994782.0,807011.0,9004716.0,999101.0,1440124.0,1185159.0,860876.0,2955064.0,3081036.0,648506.0,45804.0,731634.0,981806.0,1409935.0,3628155.0,1226020.0,163493.0,1675589.0,1463883.0,974412.0,4113128.0,3417221.0,2278663.0,1436963.0,2056011.0,627537.0,3419118.0,2909581.0,1366931.0,581102.0,1133721.0,3205090.0,1748131.0,1588610.0,1456450.0,4244221.0,866934.0,1093483.0,825209.0,1082809.0,771078.0,1669634.0,1921336.0,1503852.0,764215.0,1828069.0,1594504.0,3293516.0,2557588.0,2479784.0,964505.0,496789.0
C18n_QI08,9636.0,2194.0,161.0,51832.0,28.0,1892.0,235.0,19937.0,773.0,542.0,151.0,13205.0,424.0,120.0,1384.0,42976.0,61.0,778.0,2953.0,73.0,15.0,55.0,2880.0,235913.0,1610.0,4178.0,853.0,54665.0,199480.0,1031.0,1152.0,790.0,17.0,0.0,4936.0,578.0,50655.0,1032.0,1315.0,30720.0,39467.0,897.0,498.0,2656.0,28497.0,41.0,9217.0,340.0,33088.0,0.0,2962.0,90521.0,11008.0,327.0,76.0,667.0,2396.0,8109.0,95211.0,0.0,1815.0,2145.0,46.0,3717.0,2813.0,2553.0,2177.0,2625.0,1003.0,1627.0
C18n_QI09,0.0,0.0,0.0,12009.0,0.0,0.0,393.0,2783.0,0.0,0.0,0.0,5664.0,0.0,207.0,59.0,2134.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,124095.0,0.0,64.0,26.0,25715.0,10577.0,0.0,0.0,0.0,0.0,0.0,2867.0,55.0,29319.0,0.0,65.0,582.0,2858.0,0.0,0.0,174.0,1365.0,197.0,407.0,0.0,17640.0,0.0,213.0,55569.0,28.0,0.0,0.0,38.0,0.0,0.0,49168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
C18n_QI10,40871.0,38180.0,58551.0,925552.0,11781.0,28041.0,303398.0,1219670.0,62098.0,3235743.0,13719.0,1189143.0,3653962.0,2410.0,50460.0,17096.0,1622.0,30430.0,15982.0,49571.0,7274.0,15973.0,583156.0,4015395.0,207292.0,470743.0,26980.0,1588639.0,210870.0,23190.0,34955.0,534941.0,12612.0,7985130.0,444487.0,819507.0,372749.0,21054.0,856105.0,36470.0,2906280.0,264597.0,102285.0,711371.0,12922.0,26166.0,938219.0,82727.0,814325.0,26009.0,926256.0,673341.0,15343.0,256308.0,2848.0,483450.0,1565763.0,166095.0,619964.0,88897.0,200785.0,1026008.0,375854.0,414167.0,208250.0,170335.0,227341.0,855986.0,41530.0,1811583.0
C18n_QI11,2693.0,5893.0,76155.0,34029.0,6345.0,8812.0,25392.0,10030.0,5653.0,10058.0,16312.0,8408.0,17373.0,19940.0,16854.0,4515.0,2644.0,4252.0,6027.0,11914.0,9305.0,14727.0,5118.0,12308.0,4244.0,3966.0,10259.0,5161.0,7952.0,4035.0,3787.0,3439.0,1871.0,5565.0,9196.0,10293.0,6005.0,6080.0,17232.0,5451.0,16732.0,5956.0,9111.0,6635.0,9524.0,8741.0,17618.0,15217.0,4633.0,4181.0,13055.0,9809.0,11685.0,33884.0,5064.0,3353.0,5488.0,14034.0,4686.0,12754.0,8001.0,13071.0,6818.0,5563.0,5524.0,6944.0,14355.0,118512.0,7511.0,8669.0
C18n_TF1,1206893.0,0.0,963678.0,394610.0,0.0,203774.0,906092.0,696004.0,0.0,0.0,175206.0,0.0,782977.0,739422.0,0.0,283307.0,0.0,156862.0,420774.0,425295.0,946836.0,449198.0,224309.0,1910144.0,145468.0,95833.0,399206.0,835311.0,681264.0,0.0,137306.0,385429.0,576971.0,0.0,663802.0,264680.0,584928.0,660592.0,0.0,342499.0,1370291.0,340925.0,199182.0,0.0,0.0,0.0,515687.0,620848.0,343722.0,721547.0,0.0,2191935.0,660999.0,1449868.0,0.0,0.0,0.0,174106.0,553808.0,809079.0,0.0,608081.0,0.0,0.0,0.0,0.0,0.0,219730.0,199401.0,0.0
C18n_QI12,4653.0,4174.0,12477.0,4424.0,5257.0,2816.0,8820.0,8053.0,3628.0,5165.0,2556.0,2902.0,11456.0,17899.0,7498.0,3809.0,3121.0,1569.0,9123.0,1633.0,4135.0,4801.0,2111.0,11524.0,2568.0,2349.0,6591.0,2274.0,11379.0,9884.0,1498.0,7723.0,6645.0,3231.0,4386.0,2535.0,2909.0,7392.0,16656.0,7790.0,9422.0,2945.0,9182.0,3014.0,9529.0,6648.0,6314.0,5883.0,2107.0,3772.0,8668.0,5018.0,15170.0,6529.0,7775.0,2695.0,2616.0,7648.0,8637.0,5238.0,4754.0,6072.0,5122.0,5531.0,3397.0,3593.0,5961.0,7084.0,2506.0,10387.0
C18n_QI13,152127.0,211440.0,15989.0,664064.0,29713.0,10473.0,116517.0,7389880.0,9523.0,25482.0,12359.0,264302.0,25448.0,96822.0,17519.0,3243412.0,19438.0,6193.0,386216.0,10799.0,6992.0,23547.0,6694.0,23010.0,31620.0,155137.0,43779.0,1023156.0,39988.0,12840.0,975644.0,10240.0,46407.0,10945.0,107046.0,13368.0,618985.0,16782.0,22965.0,10274.0,960491.0,37382.0,7585.0,29155.0,216837.0,39178.0,7914.0,29424.0,448047.0,7456.0,22122.0,80034.0,6396345.0,22550.0,109006.0,26703.0,295494.0,714298.0,12306.0,24282.0,28158.0,65131.0,93550.0,44622.0,16467.0,18859.0,34786.0,46576.0,8810.0,50946.0
C18n_QI14,1875.0,15667.0,3302.0,37211.0,2833.0,33203.0,13171.0,66537.0,18466.0,9282.0,12728.0,17537.0,54609.0,4640.0,8911.0,14340.0,1881.0,17583.0,6487.0,17123.0,52717.0,16289.0,30188.0,100987.0,19165.0,15187.0,10356.0,30919.0,20497.0,7171.0,4302.0,43135.0,19762.0,3662.0,13469.0,7724.0,10629.0,5292.0,21249.0,10397.0,3780.0,29330.0,62956.0,7117.0,7691.0,9034.0,10993.0,24869.0,16002.0,7827.0,28256.0,10753.0,10062.0,9138.0,327.0,1127.0,13297.0,3767.0,15317.0,49873.0,5499.0,13519.0,13049.0,33702.0,41199.0,12379.0,69025.0,25720.0,23206.0,1377.0
