SampleID,ChromatographyAndPhase,MassSpectrometer,HealthStatus
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BA11_01_916.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BA12_01_917.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BB1_01_918.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BB4_01_921.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BD12_01_953.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BD4_01_945.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BD5_01_946.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BD7_01_948.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BD8_01_949.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BE11_01_964.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BE12_01_965.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BE2_01_955.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BE6_01_959.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BE7_01_960.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BF10_01_975.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BF11_01_976.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BF12_01_977.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BF1_01_966.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BF2_01_967.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BF3_01_968.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BF4_01_969.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BF5_01_970.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BF7_01_972.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BF8_01_973.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BF9_01_974.mzXML,reverse phase (C18),impact Series,healthy
MSV000078556/ccms_peak/Human_Swabs/Man/1m__BG10_01_987.mzXML,reverse phase (C18),impact Series,healthy
