TPR,FPR,FDR
1,0,0
1,0.000823045,0.090909091
1,0,0
1,0,0
1,0,0
1,0,0
0.9,0,0
0.9,0,0
1,0,0
1,0,0
0.9,0,0
0.9,0,0
0.8,0,0
1,0,0
1,0,0
0.9,0,0
1,0,0
1,0,0
0.9,0,0
0.9,0,0
1,0,0
1,0,0
0.9,0,0
1,0,0
1,0,0
0.9,0,0
1,0,0
0.9,0,0
1,0,0
1,0,0
1,0,0
1,0.000823045,0.090909091
1,0.000823045,0.090909091
1,0,0
1,0,0
1,0,0
1,0,0
1,0.000823045,0.090909091
1,0,0
0.9,0,0
1,0,0
1,0,0
0.9,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.8,0,0
1,0,0
0.9,0,0
1,0,0
0.9,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.9,0,0
1,0,0
1,0,0
1,0,0
0.8,0,0
1,0.000823045,0.090909091
1,0,0
1,0,0
0.9,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.000823045,0.090909091
0.9,0,0
0.8,0,0
1,0,0
0.9,0,0
0.9,0,0
1,0,0
1,0,0
1,0.000823045,0.090909091
1,0,0
1,0,0
0.9,0,0
1,0,0
0.9,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.000823045,0.090909091
0.9,0,0
1,0.000823045,0.090909091
0.9,0,0
1,0.000823045,0.090909091
1,0,0
0.8,0,0
1,0,0
0.9,0,0
1,0,0
0.9,0,0
1,0.001646091,0.166666667
0.9,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.9,0,0
1,0,0
0.9,0,0
1,0,0
0.8,0,0
0.9,0,0
1,0,0
1,0,0
0.9,0,0
1,0,0
1,0.001646091,0.166666667
0.9,0,0
0.7,0,0
1,0,0
0.9,0,0
0.9,0,0
1,0,0
1,0.001646091,0.166666667
0.9,0,0
0.9,0,0
1,0.003292181,0.285714286
0.9,0,0
1,0,0
1,0,0
0.9,0.000823045,0.1
0.9,0.000823045,0.1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.9,0,0
1,0,0
1,0,0
0.9,0,0
0.9,0,0
0.9,0,0
1,0,0
1,0,0
0.9,0,0
1,0,0
1,0.000823045,0.090909091
0.9,0.000823045,0.1
1,0.000823045,0.090909091
0.7,0,0
1,0,0
0.9,0,0
1,0,0
0.9,0,0
1,0,0
1,0,0
0.8,0,0
1,0,0
1,0,0
0.9,0,0
0.9,0,0
1,0.000823045,0.090909091
0.9,0,0
1,0,0
0.9,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.000823045,0.090909091
0.9,0,0
0.8,0,0
1,0,0
1,0,0
0.8,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0.000823045,0.090909091
0.9,0,0
1,0,0
0.9,0,0
0.9,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.9,0,0
1,0.000823045,0.090909091
0.9,0,0
1,0.000823045,0.090909091
1,0,0
1,0,0
1,0,0
0.9,0,0
1,0,0
0.9,0,0
1,0.002469136,0.230769231
0.8,0.000823045,0.111111111
0.7,0,0
0.8,0,0
1,0,0
0.9,0,0
0.9,0,0
0.9,0,0
0.9,0,0
0.9,0,0
0.8,0,0
0.9,0,0
1,0,0
0.9,0,0
0.7,0,0
0.9,0,0
1,0.001646091,0.166666667
0.9,0,0
0.8,0.000823045,0.111111111
0.6,0,0
0.9,0.001646091,0.181818182
0.9,0,0
0.9,0,0
1,0.003292181,0.285714286
0.8,0,0
0.9,0,0
0.9,0.001646091,0.181818182
0.9,0.004115226,0.357142857
0.9,0,0
1,0,0
0.9,0.001646091,0.181818182
0.9,0.000823045,0.1
0.7,0,0
1,0,0
1,0,0
1,0,0
0.9,0,0
0.9,0,0
1,0,0
1,0,0
0.9,0,0
0.9,0,0
0.7,0,0
1,0.003292181,0.285714286
1,0,0
0.8,0,0
1,0,0
1,0,0
0.7,0.000823045,0.125
1,0,0
0.8,0,0
1,0,0
0.9,0,0
1,0,0
0.9,0,0
1,0,0
1,0,0
0.8,0,0
1,0.002469136,0.230769231
0.9,0,0
0.9,0,0
0.9,0,0
0.9,0,0
0.8,0,0
0.9,0,0
0.8,0,0
1,0,0
0.9,0,0
1,0,0
1,0,0
0.9,0,0
1,0.001646091,0.166666667
0.9,0,0
0.9,0,0
1,0,0
0.9,0,0
0.7,0,0
0.8,0.000823045,0.111111111
0.9,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
0.9,0.000823045,0.1
1,0.000823045,0.090909091
0.9,0,0
0.9,0,0
1,0.001646091,0.166666667
0.8,0,0
0.7,0,0
1,0.000823045,0.090909091
0.8,0.000823045,0.111111111
1,0.001646091,0.166666667
1,0,0
0.8,0,0
0.9,0,0
0.9,0.000823045,0.1
0.9,0,0
0.9,0,0
0.9,0.000823045,0.1
0.6,0,0
1,0.564609053,0.985632184
0.8,0.000823045,0.111111111
0.7,0,0
0.8,0,0
0.8,0,0
0.8,0.001646091,0.2
0.9,0.000823045,0.1
1,0.018930041,0.696969697
0.9,0,0
0.8,0,0
1,0,0
1,0.002469136,0.230769231
0.5,0,0
0.9,0,0
1,0.003292181,0.285714286
0.9,0,0
0.8,0.000823045,0.111111111
0.9,0.002469136,0.25
0.6,0,0
0.9,0.000823045,0.1
1,0,0
0.8,0.000823045,0.111111111
0.8,0.004115226,0.384615385
0.9,0,0
0.7,0.003292181,0.363636364
