X1,X2,X3,X4,X5,X6
0.5,0.193415638,0.979166667,0.5,0.182716049,0.977973568
0.8,0.261728395,0.975460123,0.7,0.239506173,0.976510067
0.5,0.195061728,0.979338843,0.4,0.162139918,0.980099502
0.8,0.21563786,0.97037037,0.7,0.16872428,0.966981132
1,0.209876543,0.962264151,1,0.185185185,0.957446809
0.8,0.175308642,0.963800905,0.7,0.15308642,0.96373057
0.9,0.151440329,0.953367876,0.9,0.126748971,0.944785276
0.6,0.18600823,0.974137931,0.6,0.158024691,0.96969697
0.8,0.178600823,0.964444444,0.8,0.140740741,0.955307263
0.7,0.198353909,0.971774194,0.6,0.176131687,0.972727273
0.6,0.205761317,0.9765625,0.6,0.187654321,0.974358974
0.8,0.198353909,0.967871486,0.8,0.176131687,0.963963964
0.8,0.204115226,0.96875,0.8,0.202469136,0.968503937
0.6,0.206584362,0.976653696,0.6,0.197530864,0.975609756
0.7,0.232921811,0.975862069,0.6,0.181069959,0.973451327
0.7,0.248559671,0.977346278,0.7,0.2,0.972
1,0.247736626,0.967845659,1,0.208230453,0.961977186
0.9,0.277366255,0.973988439,0.9,0.232098765,0.969072165
0.7,0.269135802,0.979041916,0.7,0.251028807,0.977564103
0.9,0.252674897,0.971518987,0.9,0.205761317,0.965250965
1,0.233744856,0.965986395,1,0.204938272,0.961389961
0.9,0.24526749,0.970684039,0.9,0.202469136,0.964705882
0.6,0.208230453,0.976833977,0.6,0.175308642,0.97260274
0.9,0.232098765,0.969072165,0.9,0.167078189,0.95754717
0.9,0.250205761,0.971246006,0.8,0.207407407,0.969230769
0.9,0.24691358,0.970873786,0.8,0.183539095,0.965367965
1,0.186831276,0.957805907,1,0.172839506,0.954545455
0.9,0.29382716,0.975409836,0.8,0.221399177,0.971119134
0.9,0.21563786,0.966789668,0.8,0.190946502,0.966666667
1,0.212345679,0.962686567,0.9,0.197530864,0.963855422
0.6,0.216460905,0.977695167,0.6,0.175308642,0.97260274
0.8,0.196707819,0.967611336,0.8,0.180246914,0.964757709
0.8,0.260082305,0.975308642,0.8,0.204938272,0.968871595
1,0.301234568,0.973404255,1,0.247736626,0.967845659
1,0.286419753,0.972067039,1,0.246090535,0.96763754
0.9,0.24526749,0.970684039,0.7,0.199176955,0.97188755
0.7,0.177777778,0.968609865,0.7,0.142386831,0.961111111
1,0.234567901,0.966101695,1,0.198353909,0.960159363
0.8,0.212345679,0.969924812,0.8,0.190946502,0.966666667
0.6,0.165432099,0.971014493,0.4,0.144855967,0.977777778
0.8,0.18600823,0.965811966,0.6,0.172016461,0.972093023
0.5,0.203292181,0.98015873,0.4,0.172016461,0.981220657
0.7,0.204938272,0.97265625,0.7,0.192592593,0.970954357
1,0.214814815,0.963099631,0.9,0.185185185,0.961538462
1,0.186831276,0.957805907,1,0.163786008,0.95215311
0.7,0.160493827,0.965346535,0.7,0.145679012,0.961956522
1,0.188477366,0.958158996,1,0.174485597,0.954954955
0.9,0.237860082,0.969798658,0.9,0.204938272,0.965116279
0.8,0.212345679,0.969924812,0.6,0.197530864,0.975609756
0.9,0.214814815,0.966666667,0.8,0.169547325,0.962616822
1,0.303703704,0.973614776,1,0.274897119,0.970930233
0.8,0.167901235,0.962264151,0.8,0.152263374,0.958549223
0.9,0.23127572,0.968965517,0.8,0.214814815,0.970260223
0.9,0.258436214,0.972136223,0.9,0.221399177,0.967625899
0.9,0.225514403,0.96819788,0.8,0.194238683,0.967213115
0.9,0.24691358,0.970873786,0.9,0.225514403,0.96819788
1,0.204115226,0.96124031,1,0.174485597,0.954954955
0.9,0.166255144,0.957345972,0.9,0.161316872,0.956097561
1,0.162962963,0.951923077,1,0.150617284,0.948186528
0.8,0.198353909,0.967871486,0.8,0.166255144,0.961904762
0.8,0.253497942,0.974683544,0.7,0.241975309,0.976744186
1,0.216460905,0.963369963,1,0.180246914,0.956331878
0.9,0.224691358,0.968085106,0.9,0.201646091,0.964566929
0.8,0.198353909,0.967871486,0.8,0.160493827,0.960591133
1,0.197530864,0.96,1,0.171193416,0.95412844
0.8,0.194238683,0.967213115,0.7,0.192592593,0.970954357
0.7,0.281481481,0.979942693,0.7,0.209876543,0.973282443
0.8,0.256790123,0.975,0.8,0.255144033,0.974842767
0.6,0.234567901,0.979381443,0.6,0.194238683,0.975206612
0.6,0.192592593,0.975,0.6,0.188477366,0.974468085
0.7,0.208230453,0.973076923,0.7,0.192592593,0.970954357
0.7,0.183539095,0.969565217,0.7,0.167078189,0.966666667
0.8,0.21399177,0.970149254,0.8,0.18436214,0.965517241
0.9,0.151440329,0.953367876,0.9,0.132510288,0.947058824
0.8,0.183539095,0.965367965,0.8,0.164609053,0.961538462
0.9,0.219753086,0.967391304,0.9,0.180246914,0.960526316
0.8,0.211522634,0.969811321,0.8,0.192592593,0.966942149
0.9,0.249382716,0.971153846,0.9,0.193415638,0.963114754
0.8,0.167078189,0.962085308,0.8,0.15473251,0.959183673
0.9,0.264197531,0.972727273,0.8,0.24526749,0.973856209
1,0.18436214,0.957264957,0.9,0.17037037,0.958333333
0.9,0.223868313,0.96797153,0.8,0.16872428,0.962441315
1,0.291358025,0.972527473,0.9,0.257613169,0.972049689
0.9,0.140740741,0.95,0.9,0.133333333,0.947368421
0.7,0.244444444,0.976973684,0.6,0.194238683,0.975206612
0.8,0.151440329,0.958333333,0.8,0.135802469,0.953757225
0.7,0.180246914,0.969026549,0.6,0.140740741,0.966101695
0.7,0.156378601,0.964467005,0.6,0.140740741,0.966101695
0.7,0.199176955,0.97188755,0.7,0.186831276,0.97008547
0.7,0.330041152,0.982843137,0.6,0.279012346,0.982608696
0.4,0.180246914,0.98206278,0.4,0.148148148,0.97826087
0.9,0.213168724,0.96641791,0.6,0.15473251,0.969072165
1,0.376131687,0.978586724,1,0.269958848,0.970414201
0.6,0.209053498,0.976923077,0.6,0.185185185,0.974025974
1,0.241975309,0.967105263,1,0.201646091,0.960784314
0.9,0.175308642,0.959459459,0.8,0.15308642,0.958762887
0.7,0.227160494,0.975265018,0.7,0.208230453,0.973076923
0.8,0.207407407,0.969230769,0.8,0.173662551,0.96347032
0.9,0.237037037,0.96969697,0.9,0.201646091,0.964566929
0.6,0.239506173,0.97979798,0.5,0.198353909,0.979674797
0.5,0.17037037,0.976415094,0.5,0.159670782,0.974874372
0.6,0.227983539,0.978798587,0.6,0.213168724,0.977358491
0.4,0.158024691,0.979591837,0.4,0.148148148,0.97826087
0.7,0.195884774,0.971428571,0.6,0.144032922,0.966850829
1,0.181069959,0.956521739,1,0.172016461,0.9543379
0.6,0.125925926,0.962264151,0.5,0.131687243,0.96969697
0.9,0.126748971,0.944785276,0.6,0.111111111,0.957446809
0.4,0.150617284,0.978609626,0.5,0.148148148,0.972972973
0.8,0.140740741,0.955307263,0.7,0.116049383,0.952702703
0.6,0.162139918,0.97044335,0.6,0.162139918,0.97044335
0.6,0.18600823,0.974137931,0.6,0.17037037,0.971830986
0.7,0.158024691,0.964824121,0.8,0.151440329,0.958333333
0.8,0.194238683,0.967213115,0.7,0.183539095,0.969565217
0.5,0.185185185,0.97826087,0.6,0.167901235,0.971428571
0.4,0.219753086,0.985239852,0.3,0.160493827,0.984848485
0.6,0.209053498,0.976923077,0.6,0.172839506,0.972222222
0.9,0.204115226,0.964980545,0.9,0.176954733,0.959821429
1,0.22962963,0.965397924,0.8,0.2,0.96812749
0.7,0.241975309,0.976744186,0.7,0.233744856,0.975945017
0.8,0.23127572,0.972318339,0.7,0.180246914,0.969026549
0.9,0.196707819,0.963709677,0.9,0.185185185,0.961538462
0.9,0.210699588,0.966037736,0.7,0.199176955,0.97188755
0.5,0.171193416,0.976525822,0.5,0.162962963,0.975369458
0.8,0.190123457,0.966527197,0.8,0.176954733,0.964125561
0.9,0.223868313,0.96797153,0.8,0.195061728,0.967346939
0.5,0.175308642,0.97706422,0.5,0.161316872,0.975124378
0.9,0.172016461,0.958715596,0.9,0.166255144,0.957345972
0.8,0.235390947,0.972789116,0.8,0.211522634,0.969811321
0.8,0.190123457,0.966527197,0.7,0.178600823,0.96875
0.8,0.190946502,0.966666667,0.8,0.182716049,0.965217391
0.5,0.164609053,0.975609756,0.5,0.158024691,0.974619289
0.7,0.181069959,0.969162996,0.6,0.166255144,0.971153846
0.7,0.2,0.972,0.7,0.191769547,0.970833333
1,0.220576132,0.964028777,0.9,0.208230453,0.965648855
0.8,0.26090535,0.975384615,0.9,0.240329218,0.970099668
0.5,0.199176955,0.979757085,0.6,0.191769547,0.974895397
0.5,0.140740741,0.971590909,0.6,0.122633745,0.961290323
1,0.2,0.960474308,0.9,0.192592593,0.962962963
0.8,0.189300412,0.966386555,0.7,0.167078189,0.966666667
0.4,0.148148148,0.97826087,0.4,0.13744856,0.976608187
0.6,0.160493827,0.970149254,0.6,0.163786008,0.970731707
0.4,0.171193416,0.981132075,0.4,0.151440329,0.978723404
0.4,0.17037037,0.981042654,0.2,0.166255144,0.990196078
0.7,0.190946502,0.970711297,0.6,0.157201646,0.969543147
0.8,0.158024691,0.96,0.9,0.148971193,0.952631579
0.7,0.13744856,0.959770115,0.5,0.12345679,0.967741935
0.9,0.167078189,0.95754717,0.8,0.143209877,0.956043956
0.7,0.195061728,0.971311475,0.6,0.178600823,0.97309417
0.6,0.18436214,0.973913043,0.6,0.181069959,0.973451327
0.9,0.188477366,0.962184874,0.8,0.159670782,0.96039604
1,0.275720165,0.971014493,1,0.248559671,0.967948718
0.6,0.144855967,0.967032967,0.6,0.13909465,0.965714286
0.8,0.191769547,0.966804979,0.7,0.198353909,0.971774194
0.9,0.223868313,0.96797153,0.8,0.209053498,0.969465649
0.8,0.214814815,0.970260223,0.7,0.18436214,0.96969697
0.7,0.212345679,0.973584906,0.9,0.214814815,0.966666667
0.9,0.149794239,0.952879581,0.8,0.156378601,0.95959596
0.9,0.15473251,0.954314721,0.9,0.162962963,0.956521739
0.9,0.138271605,0.949152542,0.8,0.138271605,0.954545455
0.8,0.164609053,0.961538462,0.8,0.148971193,0.957671958
0.7,0.222222222,0.974729242,0.5,0.218106996,0.981481481
0.9,0.209876543,0.965909091,0.9,0.167078189,0.95754717
0.7,0.174485597,0.96803653,0.7,0.169547325,0.96713615
0.7,0.15473251,0.964102564,0.7,0.140740741,0.960674157
1,0.183539095,0.957081545,1,0.15473251,0.949494949
0.6,0.160493827,0.970149254,0.5,0.174485597,0.976958525
0.7,0.244444444,0.976973684,0.7,0.2,0.972
0.7,0.235390947,0.976109215,0.7,0.244444444,0.976973684
0.5,0.203292181,0.98015873,0.6,0.175308642,0.97260274
0.5,0.153909465,0.973958333,0.6,0.172016461,0.972093023
0.4,0.155555556,0.979274611,0.7,0.155555556,0.964285714
0.7,0.166255144,0.966507177,0.7,0.167078189,0.966666667
0.8,0.197530864,0.967741935,0.7,0.177777778,0.968609865
0.9,0.138271605,0.949152542,0.9,0.136625514,0.948571429
0.8,0.159670782,0.96039604,0.9,0.152263374,0.953608247
0.7,0.177777778,0.968609865,0.7,0.147325103,0.962365591
0.6,0.174485597,0.972477064,0.6,0.176131687,0.972727273
0.7,0.193415638,0.97107438,0.6,0.164609053,0.970873786
0.8,0.15473251,0.959183673,0.7,0.144855967,0.961748634
0.7,0.236213992,0.976190476,0.7,0.22962963,0.975524476
0.8,0.160493827,0.960591133,0.8,0.164609053,0.961538462
0.8,0.181893004,0.965065502,0.8,0.169547325,0.962616822
0.8,0.232921811,0.972508591,0.8,0.235390947,0.972789116
0.6,0.124279835,0.961783439,0.7,0.125102881,0.955974843
0.5,0.2,0.97983871,0.5,0.156378601,0.974358974
0.7,0.138271605,0.96,0.5,0.105349794,0.962406015
0.5,0.153909465,0.973958333,0.4,0.136625514,0.976470588
0.6,0.139917695,0.965909091,0.5,0.125925926,0.96835443
0.7,0.189300412,0.970464135,0.6,0.17037037,0.971830986
0.6,0.274897119,0.982352941,0.6,0.254320988,0.980952381
0.4,0.147325103,0.978142077,0.4,0.126748971,0.974683544
0.5,0.176954733,0.977272727,0.4,0.125925926,0.974522293
1,0.279835391,0.971428571,1,0.256790123,0.968944099
0.7,0.187654321,0.970212766,0.6,0.158024691,0.96969697
0.8,0.201646091,0.968379447,0.7,0.173662551,0.967889908
0.6,0.147325103,0.967567568,0.6,0.149794239,0.968085106
0.6,0.198353909,0.975708502,0.6,0.182716049,0.973684211
0.8,0.18436214,0.965517241,0.8,0.182716049,0.965217391
0.8,0.202469136,0.968503937,0.7,0.18436214,0.96969697
0.4,0.175308642,0.98156682,0.3,0.181893004,0.986607143
0.4,0.130864198,0.975460123,0.5,0.152263374,0.973684211
0.5,0.190123457,0.978813559,0.6,0.201646091,0.976095618
0.3,0.105349794,0.977099237,0.3,0.09218107,0.973913043
0.6,0.148148148,0.967741935,0.5,0.13744856,0.970930233
0.8,0.145679012,0.956756757,0.8,0.162962963,0.961165049
0.5,0.088065844,0.955357143,0.4,0.09382716,0.966101695
0.6,0.103703704,0.954545455,0.5,0.095473251,0.958677686
0.4,0.118518519,0.972972973,0.4,0.12345679,0.974025974
0.7,0.119341564,0.953947368,0.5,0.118518519,0.966442953
0.4,0.125102881,0.974358974,0.4,0.129218107,0.97515528
0.3,0.162962963,0.985074627,0.3,0.152263374,0.984042553
0.6,0.126748971,0.9625,0.6,0.122633745,0.961290323
0.7,0.161316872,0.965517241,0.7,0.18436214,0.96969697
0.5,0.128395062,0.968944099,0.5,0.152263374,0.973684211
0.3,0.148971193,0.983695652,0.3,0.129218107,0.98125
0.7,0.159670782,0.965174129,0.6,0.179423868,0.973214286
0.7,0.139917695,0.960451977,0.7,0.15308642,0.96373057
0.8,0.192592593,0.966942149,0.8,0.206584362,0.969111969
0.4,0.185185185,0.982532751,0.5,0.211522634,0.980916031
0.6,0.197530864,0.975609756,0.3,0.15473251,0.984293194
0.7,0.147325103,0.962365591,0.7,0.155555556,0.964285714
0.6,0.172839506,0.972222222,0.7,0.182716049,0.969432314
0.4,0.130041152,0.975308642,0.4,0.141563786,0.977272727
0.8,0.13744856,0.954285714,0.7,0.171193416,0.96744186
0.8,0.199176955,0.968,0.6,0.142386831,0.966480447
0.4,0.125925926,0.974522293,0.3,0.134156379,0.981927711
0.8,0.153909465,0.958974359,0.9,0.165432099,0.957142857
0.7,0.185185185,0.969827586,0.5,0.171193416,0.976525822
0.4,0.139917695,0.977011494,0.5,0.127572016,0.96875
0.8,0.166255144,0.961904762,0.8,0.151440329,0.958333333
0.3,0.109465021,0.977941176,0.4,0.13744856,0.976608187
0.5,0.160493827,0.975,0.4,0.125925926,0.974522293
0.7,0.175308642,0.968181818,0.6,0.15308642,0.96875
0.8,0.169547325,0.962616822,0.9,0.203292181,0.96484375
0.7,0.239506173,0.976510067,0.7,0.210699588,0.97338403
0.4,0.158847737,0.979695431,0.5,0.175308642,0.97706422
0.4,0.097119342,0.967213115,0.3,0.088888889,0.972972973
0.9,0.148148148,0.952380952,0.9,0.174485597,0.959276018
0.7,0.159670782,0.965174129,0.5,0.146502058,0.972677596
0.4,0.1218107,0.973684211,0.3,0.113580247,0.978723404
0.4,0.130041152,0.975308642,0.6,0.133333333,0.964285714
0.3,0.110288066,0.97810219,0.4,0.148971193,0.978378378
0.1,0.115226337,0.992907801,0.3,0.147325103,0.983516484
0.5,0.162139918,0.975247525,0.7,0.158847737,0.965
0.6,0.108641975,0.956521739,0.7,0.102057613,0.946564885
0.4,0.10617284,0.969924812,0.5,0.114403292,0.965277778
0.8,0.135802469,0.953757225,0.9,0.13909465,0.949438202
0.6,0.153909465,0.968911917,0.6,0.160493827,0.970149254
0.5,0.151440329,0.973544974,0.4,0.176131687,0.981651376
0.8,0.148971193,0.957671958,0.9,0.15473251,0.954314721
1,0.214814815,0.963099631,0.9,0.230452675,0.968858131
0.4,0.116872428,0.97260274,0.4,0.13909465,0.976878613
0.4,0.150617284,0.978609626,0.7,0.169547325,0.96713615
0.8,0.203292181,0.968627451,0.8,0.196707819,0.967611336
0.5,0.159670782,0.974874372,0.7,0.175308642,0.968181818
0.5,0.173662551,0.976851852,0.5,0.209053498,0.980694981
0.7,0.104526749,0.947761194,0.6,0.135802469,0.964912281
0.8,0.125925926,0.950310559,0.8,0.152263374,0.958549223
0.6,0.109465021,0.956834532,0.6,0.115226337,0.95890411
0.7,0.126748971,0.956521739,0.6,0.119341564,0.960264901
0.4,0.173662551,0.981395349,0.5,0.204115226,0.980237154
0.8,0.178600823,0.964444444,0.8,0.162962963,0.961165049
0.5,0.128395062,0.968944099,0.6,0.160493827,0.970149254
0.6,0.133333333,0.964285714,0.7,0.141563786,0.960893855
1,0.158847737,0.950738916,1,0.159670782,0.950980392
0.3,0.147325103,0.983516484,0.3,0.172839506,0.985915493
0.6,0.193415638,0.975103734,0.6,0.209876543,0.977011494
0.7,0.204115226,0.97254902,0.7,0.232098765,0.975778547
0.5,0.163786008,0.975490196,0.5,0.176131687,0.97716895
0.5,0.114403292,0.965277778,0.5,0.146502058,0.972677596
0.3,0.109465021,0.977941176,0.7,0.140740741,0.960674157
0.6,0.144855967,0.967032967,0.7,0.146502058,0.962162162
0.4,0.158024691,0.979591837,0.4,0.17037037,0.981042654
0.9,0.116872428,0.940397351,0.8,0.133333333,0.952941176
0.7,0.125925926,0.95625,0.7,0.1218107,0.95483871
0.4,0.128395062,0.975,0.7,0.129218107,0.957317073
0.3,0.125925926,0.980769231,0.4,0.148971193,0.978378378
0.6,0.153909465,0.968911917,0.6,0.132510288,0.964071856
0.7,0.12345679,0.955414013,0.7,0.119341564,0.953947368
0.7,0.207407407,0.972972973,0.7,0.221399177,0.974637681
0.4,0.134979424,0.976190476,0.6,0.162139918,0.97044335
0.7,0.129218107,0.957317073,0.7,0.152263374,0.963541667
0.7,0.176954733,0.968468468,0.7,0.2,0.972
0.6,0.103703704,0.954545455,0.9,0.1218107,0.942675159
0.5,0.160493827,0.975,0.6,0.166255144,0.971153846
0.5,0.109465021,0.963768116,0.3,0.096296296,0.975
0.4,0.120987654,0.973509934,0.4,0.140740741,0.977142857
0.4,0.117695473,0.972789116,0.4,0.115226337,0.972222222
0.7,0.161316872,0.965517241,0.6,0.172016461,0.972093023
0.5,0.212345679,0.980988593,0.6,0.241152263,0.97993311
0.2,0.102057613,0.984126984,0.2,0.087242798,0.981481481
0.2,0.131687243,0.987654321,0.1,0.111111111,0.992647059
0.8,0.204115226,0.96875,0.9,0.247736626,0.970967742
0.6,0.158024691,0.96969697,0.6,0.136625514,0.965116279
0.2,0.122633745,0.986754967,0.5,0.129218107,0.969135802
0.3,0.113580247,0.978723404,0.4,0.146502058,0.978021978
0.5,0.167901235,0.976076555,0.6,0.192592593,0.975
0.8,0.158847737,0.960199005,0.8,0.172016461,0.963133641
0.7,0.16872428,0.966981132,0.6,0.16872428,0.971563981
0.5,0.114403292,0.965277778,0.3,0.167901235,0.985507246
0.2,0.087242798,0.981481481,0.4,0.079835391,0.96039604
0.3,0.125925926,0.980769231,0.3,0.183539095,0.986725664
0.2,0.06090535,0.973684211,0.2,0.039506173,0.96
0.4,0.080658436,0.960784314,0.3,0.065843621,0.963855422
0.6,0.083950617,0.944444444,0.6,0.079835391,0.941747573
0.3,0.042798354,0.945454545,0.4,0.09382716,0.966101695
