X1,X2,X3,X4,X5,X6
1,8.23E-04,0.090909091,1,0,0
1,0,0,0.9,0,0
1,8.23E-04,0.090909091,0.9,0,0
1,8.23E-04,0.090909091,1,0,0
1,8.23E-04,0.090909091,1,0,0
1,8.23E-04,0.090909091,1,0,0
1,0,0,1,0,0
1,8.23E-04,0.090909091,1,0,0
0.9,8.23E-04,0.1,0.9,0,0
1,8.23E-04,0.090909091,0.9,0,0
0.8,0,0,0.8,0,0
1,8.23E-04,0.090909091,1,0,0
1,0,0,1,0,0
1,0,0,0.9,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,8.23E-04,0.090909091,1,8.23E-04,0.090909091
1,8.23E-04,0.090909091,0.9,0,0
1,8.23E-04,0.090909091,0.7,0,0
1,8.23E-04,0.090909091,1,0,0
1,0.001646091,0.166666667,1,8.23E-04,0.090909091
1,0,0,1,0,0
1,8.23E-04,0.090909091,1,0,0
0.9,0.001646091,0.181818182,0.9,0,0
1,0,0,0.9,0,0
1,0,0,1,0,0
1,0.002469136,0.230769231,1,0.001646091,0.166666667
1,0,0,0.9,0,0
1,8.23E-04,0.090909091,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0.001646091,0.166666667,1,0.001646091,0.166666667
1,0,0,1,0,0
1,0,0,0.9,0,0
1,8.23E-04,0.090909091,1,0,0
1,0,0,1,0,0
1,0.002469136,0.230769231,1,0,0
1,0,0,0.8,0,0
1,8.23E-04,0.090909091,0.9,0,0
1,0,0,1,0,0
0.9,0,0,0.8,0,0
1,0,0,1,0,0
1,8.23E-04,0.090909091,1,8.23E-04,0.090909091
1,0,0,0.9,0,0
1,0.001646091,0.166666667,0.8,8.23E-04,0.111111111
1,8.23E-04,0.090909091,1,0,0
1,0.002469136,0.230769231,1,0,0
1,8.23E-04,0.090909091,1,0,0
1,8.23E-04,0.090909091,1,0,0
1,8.23E-04,0.090909091,1,8.23E-04,0.090909091
1,0,0,1,0,0
1,0,0,0.9,0,0
1,0,0,1,0,0
1,8.23E-04,0.090909091,0.9,0,0
1,0,0,1,0,0
1,0,0,0.9,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,0.8,0,0
1,8.23E-04,0.090909091,0.9,0,0
1,0.001646091,0.166666667,1,0.001646091,0.166666667
1,0,0,0.8,0,0
1,0.001646091,0.166666667,1,8.23E-04,0.090909091
1,0.001646091,0.166666667,0.9,8.23E-04,0.1
1,0,0,1,0,0
0.9,0,0,0.9,0,0
1,0,0,0.9,0,0
0.9,0,0,0.7,0,0
1,8.23E-04,0.090909091,0.8,0,0
1,8.23E-04,0.090909091,1,0,0
1,0,0,0.9,0,0
1,0,0,0.9,0,0
1,8.23E-04,0.090909091,0.8,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,8.23E-04,0.090909091,1,0,0
1,0.001646091,0.166666667,1,0,0
0.9,0.001646091,0.181818182,0.7,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,8.23E-04,0.090909091,1,0,0
1,8.23E-04,0.090909091,1,0,0
1,8.23E-04,0.090909091,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,8.23E-04,0.090909091,1,8.23E-04,0.090909091
1,0,0,0.9,0,0
1,0.001646091,0.166666667,1,0,0
1,0.001646091,0.166666667,0.8,0,0
0.9,0.001646091,0.181818182,0.7,0,0
1,0.001646091,0.166666667,1,8.23E-04,0.090909091
1,0,0,0.9,0,0
1,0.001646091,0.166666667,1,0,0
0.9,0,0,0.8,0,0
1,8.23E-04,0.090909091,1,0,0
1,8.23E-04,0.090909091,1,8.23E-04,0.090909091
1,0,0,1,0,0
0.9,0.001646091,0.181818182,0.8,8.23E-04,0.111111111
1,8.23E-04,0.090909091,0.9,0,0
0.9,0,0,0.8,0,0
1,8.23E-04,0.090909091,1,0,0
1,8.23E-04,0.090909091,0.9,0,0
0.9,8.23E-04,0.1,0.9,8.23E-04,0.1
0.9,0,0,0.7,0,0
0.9,0,0,0.9,0,0
0.9,0.001646091,0.181818182,0.8,0,0
0.7,0,0,0.7,0,0
1,0.001646091,0.166666667,1,0,0
0.9,0,0,0.9,0,0
0.9,0,0,0.9,0,0
0.9,8.23E-04,0.1,0.9,0,0
1,8.23E-04,0.090909091,0.9,8.23E-04,0.1
0.9,0,0,0.8,0,0
0.9,0.002469136,0.25,0.8,0,0
0.7,0,0,0.5,0,0
0.9,0.001646091,0.181818182,1,0.001646091,0.166666667
0.9,8.23E-04,0.1,0.8,8.23E-04,0.111111111
0.7,0,0,0.7,0,0
0.9,0.002469136,0.25,0.9,0,0
0.9,0,0,0.8,0,0
0.8,0,0,0.6,0,0
1,8.23E-04,0.090909091,1,0,0
0.9,0.002469136,0.25,0.7,0,0
1,0,0,1,0,0
1,0,0,0.8,0,0
1,0.001646091,0.166666667,0.9,0,0
0.9,0,0,0.9,0,0
1,0,0,1,0,0
0.9,8.23E-04,0.1,0.9,8.23E-04,0.1
1,0,0,1,0,0
0.9,0,0,0.9,0,0
1,8.23E-04,0.090909091,1,8.23E-04,0.090909091
0.7,0,0,0.6,0,0
0.7,0,0,0.4,0,0
0.9,0.002469136,0.25,0.8,0,0
1,0,0,0.9,0,0
0.7,0,0,0.7,0,0
1,8.23E-04,0.090909091,1,0,0
0.8,0,0,0.8,0,0
1,0,0,0.8,0,0
0.7,0,0,0.6,0,0
0.9,0,0,0.8,0,0
1,0.003292181,0.285714286,1,8.23E-04,0.090909091
1,0,0,0.9,0,0
0.8,8.23E-04,0.111111111,0.6,0,0
0.7,8.23E-04,0.125,0.5,0,0
1,0,0,1,0,0
0.8,0,0,0.7,0,0
1,8.23E-04,0.090909091,1,8.23E-04,0.090909091
0.9,0,0,0.9,0,0
1,8.23E-04,0.090909091,1,0,0
0.8,8.23E-04,0.111111111,0.8,0,0
1,0,0,1,0,0
1,0,0,0.9,0,0
0.8,0,0,0.6,0,0
0.9,8.23E-04,0.1,0.9,8.23E-04,0.1
1,8.23E-04,0.090909091,0.9,0,0
0.8,0.001646091,0.2,0.7,0,0
0.9,8.23E-04,0.1,0.8,0,0
1,0.001646091,0.166666667,0.9,8.23E-04,0.1
0.9,0,0,0.6,0,0
0.8,0,0,0.6,0,0
0.9,0,0,0.9,0,0
0.7,0,0,0.7,0,0
0.8,0,0,0.7,0,0
1,8.23E-04,0.090909091,1,8.23E-04,0.090909091
0.9,0.001646091,0.181818182,0.7,8.23E-04,0.125
1,0,0,1,0,0
0.8,0.003292181,0.333333333,0.8,0.002469136,0.272727273
1,0.001646091,0.166666667,0.9,0,0
1,0.001646091,0.166666667,1,8.23E-04,0.090909091
0.9,0,0,0.8,0,0
1,8.23E-04,0.090909091,1,8.23E-04,0.090909091
0.9,0,0,0.8,0,0
0.7,0,0,0.6,0,0
1,0,0,0.7,0,0
0.9,0,0,0.8,0,0
0.9,8.23E-04,0.1,0.6,0,0
1,0.002469136,0.230769231,0.9,0,0
1,0.001646091,0.166666667,1,0,0
0.9,0.002469136,0.25,0.9,0.002469136,0.25
0.9,0,0,0.9,0,0
1,0,0,0.8,0,0
0.9,0,0,0.9,0,0
0.9,0,0,0.9,0,0
0.8,8.23E-04,0.111111111,0.7,8.23E-04,0.125
0.8,8.23E-04,0.111111111,0.6,0,0
1,0,0,0.9,0,0
0.8,0,0,0.8,0,0
0.6,0,0,0.6,0,0
0.8,8.23E-04,0.111111111,0.8,8.23E-04,0.111111111
1,0.002469136,0.230769231,1,0.002469136,0.230769231
1,0.001646091,0.166666667,0.9,8.23E-04,0.1
0.8,0,0,0.8,0,0
0.8,0,0,0.8,0,0
1,0.002469136,0.230769231,1,0.002469136,0.230769231
0.5,8.23E-04,0.166666667,0.3,0,0
0.7,0,0,0.7,0,0
0.9,8.23E-04,0.1,0.6,0,0
0.8,0.001646091,0.2,0.6,8.23E-04,0.142857143
0.9,8.23E-04,0.1,0.8,8.23E-04,0.111111111
0.9,0,0,0.9,0,0
0.6,8.23E-04,0.142857143,0.4,8.23E-04,0.2
0.6,0,0,0.6,0,0
0.9,8.23E-04,0.1,0.9,8.23E-04,0.1
0.8,0.001646091,0.2,0.8,8.23E-04,0.111111111
0.7,0,0,0.7,0,0
0.8,8.23E-04,0.111111111,0.7,8.23E-04,0.125
0.8,0,0,0.8,0,0
